MSOA11CD,loneliness,ITEMS
E02003724,5.0165698319889,154628.0
E02002867,5.007173075533995,303342.0
E02001981,5.00379869241755,15017.0
E02003619,4.997468337745044,111899.0
E02000821,4.98252426742974,293487.0
E02004495,4.9732754507549295,171490.0
E02004563,4.9654556955744225,167275.0
E02006369,4.965364711930542,254170.0
E02004153,4.946223248463782,44128.0
E02003302,4.942306160561181,114208.0
E02002860,4.942055628862794,119234.0
E02000875,4.929119422200984,173297.0
E02005957,4.9196348027960575,202207.0
E02005575,4.890047674778275,75767.0
E02003254,4.866895550856283,72442.0
E02000978,4.857872958558687,81742.0
E02005621,4.829516719676814,121631.0
E02005447,4.8248246120995955,208913.0
E02004847,4.819922408967107,226877.0
E02004595,4.814370916089491,319779.0
E02000348,4.8101066679279185,106720.0
E02000469,4.798049529897873,124269.0
E02005130,4.789355961179574,62788.0
E02000802,4.783435196043534,135555.0
E02005623,4.777602618132878,178241.0
E02000714,4.766513433731513,229137.0
E02000919,4.747913170612364,83757.0
E02004913,4.747434193400939,169561.0
E02002963,4.731040269864659,72546.0
E02006532,4.724700059177961,90611.0
E02006479,4.723933490351137,495276.0
E02000869,4.715853963140877,77149.0
E02000357,4.683195471759685,88428.0
E02003985,4.676432620275834,119629.0
E02004503,4.6661799791144425,290503.0
E02004433,4.646194697648115,59141.0
E02000577,4.627042170157561,209849.0
E02000886,4.618213045341534,210533.0
E02005906,4.577042111397193,152454.0
E02001594,4.568133840259264,1005595.0
E02005276,4.562696875888086,265039.0
E02003653,4.5510698222512875,518690.0
E02003053,4.53478855070205,324813.0
E02000884,4.515319210390349,249249.0
E02005078,4.511457650229904,256931.0
E02000651,4.506455483931832,143427.0
E02005337,4.502262431645245,251715.0
E02006229,4.501335756941324,247648.0
E02004498,4.49228800780456,198336.0
E02000865,4.478284318504561,230070.0
E02004873,4.475288341331423,219342.0
E02004853,4.462213765227609,210804.0
E02000427,4.4518027195983745,70919.0
E02003876,4.441894207028687,184989.0
E02004569,4.402633745523523,82549.0
E02004304,4.391638753467046,189152.0
E02000380,4.386878342752353,150801.0
E02003758,4.38118794255492,35604.0
E02003660,4.37185909113392,199651.0
E02000419,4.37103307485404,41061.0
E02003013,4.366334284820594,427274.0
E02004544,4.356833215033862,195496.0
E02001593,4.340688052863039,237963.0
E02005180,4.340598922663372,29570.0
E02000932,4.337258840133208,216311.0
E02001862,4.330872973796196,38902.0
E02004169,4.326402437512972,41754.0
E02000765,4.32457384346058,272614.0
E02000962,4.3236829806544135,49946.0
E02000792,4.310899935509638,84769.0
E02000206,4.300704201461845,59139.0
E02000361,4.2993170093087585,243778.0
E02000183,4.2917185984790205,56681.0
E02000715,4.283666489467352,66378.0
E02006493,4.271845499797138,90096.0
E02000372,4.266933727264969,126775.0
E02005445,4.263174288411474,142593.0
E02004555,4.255578185293068,90775.0
E02004995,4.237214217428509,246869.0
