MSOA11CD,loneliness,LISA_score,LISA_support
E02006794,4.990591064594482,1.0,7
E02004559,4.979790048070572,1.0,4
E02000416,4.945749538330052,1.0,6
E02000802,4.9292192025631465,1.0,6
E02004850,4.928426603975888,1.0,6
E02000614,4.927685494061608,0.9,10
E02003058,4.909628820085152,1.0,8
E02005995,4.90733862142037,1.0,10
E02003025,4.903874368481599,1.0,11
E02003655,4.884766708547815,1.0,13
E02000820,4.874116561055647,1.0,8
E02002948,4.8738185619465675,0.6,5
E02002834,4.848771267199064,1.0,10
E02000424,4.817054066114673,1.0,7
E02000379,4.8155189625689045,0.8333333333333334,6
E02005957,4.795918160034339,1.0,4
E02003077,4.7752144949294415,0.6666666666666666,12
E02000717,4.768079979788405,1.0,6
E02000935,4.761524109249139,1.0,7
E02004849,4.738606313608103,1.0,7
E02000590,4.730962363175109,0.8,5
E02000824,4.727284938132326,0.75,8
E02001586,4.709435161734656,1.0,7
E02000866,4.683885391466234,1.0,8
E02002660,4.679431206183585,1.0,6
E02000821,4.677166691957382,1.0,7
E02004503,4.672505403493425,1.0,5
E02004658,4.670486717841073,1.0,5
E02000639,4.669258300588533,1.0,8
E02000552,4.6626881509314195,1.0,9
E02005664,4.657839077768051,1.0,7
E02000711,4.656261007212954,1.0,7
E02000626,4.649523604505003,1.0,7
E02001985,4.624161785237105,0.8571428571428571,7
E02004504,4.6176170683173385,1.0,5
E02005651,4.613055562308848,1.0,7
E02000884,4.586625047144198,1.0,6
E02000491,4.546396156121705,1.0,9
E02000714,4.532167786343903,1.0,6
E02004346,4.5261088599715,0.8888888888888888,9
E02000419,4.522166695639551,1.0,7
E02002833,4.505597802847794,0.8,5
E02005379,4.505537441411412,1.0,6
E02000864,4.497800612938559,1.0,6
E02004615,4.492175451191116,1.0,8
E02006479,4.490923582541834,1.0,7
E02006636,4.486711849963191,1.0,5
E02004808,4.479535253617825,1.0,9
E02005623,4.4626625142451735,1.0,12
E02002832,4.457616758243741,1.0,7
E02000382,4.452439023602342,0.875,8
E02003037,4.451141431980729,0.8571428571428571,7
E02004558,4.447279802356983,1.0,7
E02000611,4.439553730083531,1.0,7
E02000492,4.43872141096116,1.0,10
E02000978,4.431461261522886,0.9285714285714286,14
E02004546,4.428633179735442,1.0,6
E02004556,4.42840155118078,1.0,14
E02003053,4.4268479115489745,1.0,7
E02000834,4.425988708223441,1.0,8
E02000818,4.416042960892775,1.0,8
E02004545,4.415374472087006,1.0,8
E02000627,4.410962510572139,1.0,6
E02000728,4.408879887249723,1.0,6
E02003075,4.385765196216719,0.3333333333333333,6
E02000019,4.372345677209183,1.0,8
E02001593,4.365218776056004,0.8571428571428571,7
E02002860,4.3594347611529045,1.0,7
E02000023,4.353632151402827,1.0,4
E02000867,4.341313345661646,1.0,7
E02004463,4.321344652258425,1.0,9
E02004461,4.317526945401718,1.0,4
E02000852,4.28522011451129,1.0,5
E02003656,4.283257228774796,1.0,5
E02004544,4.281816134753841,1.0,5
E02000872,4.280671915783957,1.0,6
E02000888,4.276356414296702,1.0,8
