PRACTICE_CODE,YEAR,POSTCODE,depression,alzheimers,blood pressure,insomnia,social anxiety,ITEMS,depression_perc,depression_perc_trim,depression_perc_trim_zscore,alzheimers_perc,alzheimers_perc_trim,alzheimers_perc_trim_zscore,blood pressure_perc,blood pressure_perc_trim,blood pressure_perc_trim_zscore,insomnia_perc,insomnia_perc_trim,insomnia_perc_trim_zscore,social anxiety_perc,social anxiety_perc_trim,social anxiety_perc_trim_zscore,loneliness_prac,laua,msoa11,lat,long
A81009,2019,TS56HF,14650,285,18222,782,4042,191469,7.65136915114196,7.65136915114196,0.8960398147930517,0.14884916096078216,0.14884916096078216,-0.464583222283691,9.51694530185043,9.51694530185043,0.3032390025893303,0.40842120656607594,0.40842120656607594,-0.2372046093172035,2.111046696854321,2.111046696854321,0.9334683390632916,1.4309593248447792,E06000002,E02002500,54.562284999999996,-1.241897
A81011,2019,TS247PW,21852,360,21951,454,6780,281372,7.766231181496382,7.766231181496382,0.9724854663819767,0.12794450051888603,0.12794450051888603,-0.6077797788647031,7.8014159191390755,7.8014159191390755,-0.7995844209455779,0.1613522312099285,0.1613522312099285,-1.182934824839946,2.40962142643902,2.40962142643902,1.4638012821235018,-0.15401227614474844,E06000001,E02002489,54.682342000000006,-1.214164
A81012,2019,TS36AL,16093,194,12392,226,3992,155879,10.324033384869033,10.324033384869033,2.674813515686593,0.12445550715619166,0.12445550715619166,-0.6316793220723288,7.949755900409933,7.949755900409933,-0.704224465213618,0.14498425060463566,0.14498425060463566,-1.2455881539485558,2.560960745193387,2.560960745193387,1.7326124652647148,1.825934039716805,E06000002,E02002497,54.57171700000001,-1.216402
A81013,2019,TS122FF,16663,199,16312,432,4530,177125,9.407480592801694,9.407480592801694,2.064807970868719,0.11235003528581511,0.11235003528581511,-0.7146015916037729,9.209315455187015,9.209315455187015,0.10547998773487668,0.24389555398729712,0.24389555398729712,-0.8669756303369694,2.557515878616796,2.557515878616796,1.7264936412351182,2.315204377897971,E06000003,E02002524,54.565266,-0.936357
A81014,2019,TS232LA,5061,346,10393,233,1318,107055,4.72747653075522,4.72747653075522,-1.0499372487484608,0.3231983559852412,0.3231983559852412,0.7297056990583556,9.708093970389053,9.708093970389053,0.4261184071430038,0.21764513567792257,0.21764513567792257,-0.9674569381559732,1.2311428704871328,1.2311428704871328,-0.629430123563884,-1.4910002042669586,E06000004,E02002536,54.608291,-1.294798
A81016,2019,TS13QY,13872,314,17943,707,4155,216093,6.419458288792326,6.419458288792326,0.07614982781297261,0.1453078072866775,0.1453078072866775,-0.488841432704128,8.303369382626924,8.303369382626924,-0.47690499461947494,0.3271739482537611,0.3271739482537611,-0.5482027304029297,1.9227832461023726,1.9227832461023726,0.5990719551267584,-0.8387273747868017,E06000002,E02002496,54.566667,-1.240007
A81017,2019,TS170EE,27756,856,37201,691,7480,384798,7.2131352034054235,7.2131352034054235,0.6043761590163386,0.22245437866101175,0.22245437866101175,0.03961122518721129,9.667669790383526,9.667669790383526,0.4001318323652361,0.17957473791443823,0.17957473791443823,-1.113182743793839,1.9438770471779998,1.9438770471779998,0.6365390831061561,0.5674755558811029,E06000004,E02002554,54.538149,-1.2921280000000002
A81018,2019,TS104NW,21058,361,25296,989,5885,288049,7.310561744703159,7.310561744703159,0.6692177381576736,0.1253258994129471,0.1253258994129471,-0.6257171504126369,8.78183920096928,8.78183920096928,-0.16932196605690034,0.34334436154959747,0.34334436154959747,-0.4863056491149264,2.043055174640426,2.043055174640426,0.8127007706592495,0.20057374323245947,E06000003,E02002519,54.599299,-1.068807
A81019,2019,TS37RL,20898,363,17110,687,5653,236573,8.833636974633622,8.833636974633622,1.6828902112257405,0.15344100975174682,0.15344100975174682,-0.4331291387775547,7.232439881136055,7.232439881136055,-1.1653491280169899,0.29039662176157044,0.29039662176157044,-0.688978919965673,2.3895372675664595,2.3895372675664595,1.428127495870428,0.823560520335951,E06000002,E02002499,54.560832999999995,-1.203883
A81020,2019,TS43BU,14585,539,18170,916,4335,214024,6.814656300228012,6.814656300228012,0.33917120570110454,0.2518409150375659,0.2518409150375659,0.2409084828327663,8.489702089485291,8.489702089485291,-0.3571215180058038,0.42798938436810824,0.42798938436810824,-0.1623015706680699,2.0254737786416475,2.0254737786416475,0.7814724296134136,0.8421290294734107,E06000002,E02002506,54.553175,-1.220329
